Date,Shell,AstraZeneca,HSBC Holdings,Unilever Group,BP,Diageo,Rio Tinto Group,Glencore,British American Tobacco,GlaxoSmithKline,FTSE 100
2014-01-03,6730.7001953125,3585.5,3200.0,487.8999938964844,1986.5,307.5,1616.305419921875,656.4000244140625,3370.0,2158.5,2445.0
2014-01-06,6730.7001953125,3598.5,3205.5,488.95001220703125,1977.0,306.29998779296875,1628.8974609375,660.0,3266.0,2147.0,2441.0
2014-01-07,6755.5,3562.5,3185.5,494.0,1965.0,308.8500061035156,1628.3936767578125,675.7999877929688,3215.0,2159.0,2443.0
2014-01-08,6721.7998046875,3549.5,3154.5,492.8500061035156,1938.5,314.79998779296875,1610.7650146484375,674.5,3190.0,2143.5,2409.0
2014-01-09,6691.2998046875,3572.5,3111.5,495.29998779296875,1939.0,309.6499938964844,1609.25390625,668.0999755859375,3115.0,2145.0,2370.0
2014-01-10,6739.89990234375,3652.0,3084.5,497.0,1978.0,318.75,1609.757568359375,675.5999755859375,3140.0,2190.0,2388.0
2014-01-13,6757.2001953125,3663.5,3042.5,495.79998779296875,1996.0,318.95001220703125,1602.7060546875,677.0,3177.0,2190.0,2402.0
2014-01-14,6766.89990234375,3755.5,3054.0,491.04998779296875,2003.5,317.3999938964844,1603.2098388671875,672.9000244140625,3168.0,2174.0,2413.0
2014-01-15,6819.89990234375,3845.0,3084.0,492.8500061035156,1981.5,319.45001220703125,1630.912109375,681.0,3254.0,2180.0,2406.0
2014-01-16,6815.39990234375,3874.0,3085.0,489.45001220703125,1962.0,327.20001220703125,1647.0299072265625,673.9000244140625,3334.5,2195.0,2432.0
2014-01-17,6829.2998046875,3875.0,3075.0,491.04998779296875,1931.5,338.1499938964844,1657.1033935546875,677.7000122070312,3383.0,2174.5,2424.0
2014-01-20,6836.7001953125,3920.0,3121.0,494.29998779296875,1947.0,338.0,1675.23583984375,673.0,3336.0,2175.5,2437.0
2014-01-21,6834.2998046875,3947.0,3148.0,491.29998779296875,1985.0,333.70001220703125,1673.724853515625,673.9000244140625,3231.5,2168.0,2480.0
2014-01-22,6826.2998046875,3934.0,3167.0,493.6000061035156,1994.0,335.0,1662.1402587890625,668.9000244140625,3246.0,2180.0,2505.0
2014-01-23,6773.2998046875,3960.0,3126.5,488.1499938964844,1972.5,332.1000061035156,1664.6585693359375,659.0,3217.0,2183.0,2492.0
2014-01-24,6663.7001953125,3891.0,3073.5,486.6499938964844,1946.5,325.3999938964844,1636.45263671875,645.9000244140625,3143.0,2170.5,2465.0
2014-01-27,6550.7001953125,3855.5,3024.5,475.79998779296875,1910.0,321.29998779296875,1622.349609375,635.0999755859375,3140.0,2134.5,2434.0
2014-01-28,6572.2998046875,3865.0,2985.0,476.8999938964844,1902.5,323.79998779296875,1613.283447265625,633.7999877929688,3213.0,2123.5,2412.0
2014-01-29,6544.2998046875,3846.5,2929.0,476.8999938964844,1910.0,323.79998779296875,1589.1068115234375,626.2999877929688,3247.5,2125.5,2391.0
2014-01-30,6538.5,3873.0,2889.5,477.8999938964844,1820.0,323.6499938964844,1588.099365234375,630.2000122070312,3240.5,2147.5,2358.0
2014-01-31,6510.39990234375,3858.5,2916.0,478.0,1800.5,322.5,1575.5074462890625,627.0,3243.5,2103.5,2339.0
2014-02-03,6465.7001953125,3872.0,2916.5,473.6000061035156,1792.5,314.8999938964844,1583.0626220703125,621.5,3219.0,2095.0,2339.0
